Check failed for (fp128): alpha = -6.276902121872406890448361479792446694e+00; beta = -1.569225530468101722612090369948111674e+00; diff = 3.851859888774471706111955885169854637e-34; -999/1000
Check failed for (fp128): alpha = -3.568849254478005118893562883405514987e+00; beta = -8.922123136195012797233907208513787467e-01; diff = 2.648153673532449297951969671054275063e-34; -568/1000
Check failed for (fp128): alpha = -3.562566069170825532416637596638956086e+00; beta = -8.906415172927063831041593991597390215e-01; diff = 1.925929944387235853055977942584927319e-34; -567/1000
Check failed for (fp128): alpha = -3.556282883863645945939712309872397185e+00; beta = -8.890707209659114864849280774680992963e-01; diff = 2.407412430484044816319972428231159148e-34; -566/1000
Check failed for (fp128): alpha = -3.543716513249286772985861736339278998e+00; beta = -8.859291283123216932464654340848197496e-01; diff = 3.370377402677662742847961399523622807e-34; -564/1000
Check failed for (fp128): alpha = -3.531150142634927600032011162806161197e+00; beta = -8.827875356587319000080027907015402992e-01; diff = 3.851859888774471706111955885169854637e-34; -562/1000
Check failed for (fp128): alpha = -3.518583772020568427078160589273043395e+00; beta = -8.796459430051421067695401473182608488e-01; diff = 1.925929944387235853055977942584927319e-34; -560/1000
Check failed for (fp128): alpha = -3.512300586713388840601235302506484109e+00; beta = -8.780751466783472101503088256266210273e-01; diff = 3.851859888774471706111955885169854637e-34; -559/1000
Check failed for (fp128): alpha = -3.499734216099029667647384728973366307e+00; beta = -8.749335540247574169118461822433415769e-01; diff = 3.851859888774471706111955885169854637e-34; -557/1000
Check failed for (fp128): alpha = -3.487167845484670494693534155440248506e+00; beta = -8.717919613711676236733835388600621264e-01; diff = 3.851859888774471706111955885169854637e-34; -555/1000
Check failed for (fp128): alpha = -3.480884660177490908216608868673688835e+00; beta = -8.702211650443727270541522171684222086e-01; diff = 1.925929944387235853055977942584927319e-34; -554/1000
Check failed for (fp128): alpha = -3.474601474870311321739683581907129934e+00; beta = -8.686503687175778304349208954767824834e-01; diff = 1.925929944387235853055977942584927319e-34; -553/1000
Check failed for (fp128): alpha = -3.468318289563131735262758295140571033e+00; beta = -8.670795723907829338156895737851427582e-01; diff = 1.925929944387235853055977942584927319e-34; -552/1000
Check failed for (fp128): alpha = -3.462035104255952148785833008374012132e+00; beta = -8.655087760639880371964582520935030330e-01; diff = 1.925929944387235853055977942584927319e-34; -551/1000
Check failed for (fp128): alpha = -3.449468733641592975831982434840893945e+00; beta = -8.623671834103982439579956087102234863e-01; diff = 1.925929944387235853055977942584927319e-34; -549/1000
Check failed for (fp128): alpha = -3.436902363027233802878131861307776144e+00; beta = -8.592255907568084507195329653269440359e-01; diff = 2.888894916580853779583966913877390978e-34; -547/1000
Check failed for (fp128): alpha = -3.430619177720054216401206574541217243e+00; beta = -8.576547944300135541003016436353043107e-01; diff = 1.925929944387235853055977942584927319e-34; -546/1000
Check failed for (fp128): alpha = -3.424335992412874629924281287774658342e+00; beta = -8.560839981032186574810703219436645855e-01; diff = 1.925929944387235853055977942584927319e-34; -545/1000
Check failed for (fp128): alpha = -3.418052807105695043447356001008098671e+00; beta = -8.545132017764237608618390002520246677e-01; diff = 1.925929944387235853055977942584927319e-34; -544/1000
Check failed for (fp128): alpha = -3.411769621798515456970430714241539770e+00; beta = -8.529424054496288642426076785603849425e-01; diff = 2.888894916580853779583966913877390978e-34; -543/1000
Check failed for (fp128): alpha = -3.399203251184156284016580140708421968e+00; beta = -8.498008127960390710041450351771054921e-01; diff = 1.925929944387235853055977942584927319e-34; -541/1000
Check failed for (fp128): alpha = -3.380353695262617524585804280408744881e+00; beta = -8.450884238156543811464510701021862202e-01; diff = 1.925929944387235853055977942584927319e-34; -538/1000
Check failed for (fp128): alpha = -3.361504139341078765155028420109068178e+00; beta = -8.403760348352696912887571050272670445e-01; diff = 1.925929944387235853055977942584927319e-34; -535/1000
Check failed for (fp128): alpha = -3.348937768726719592201177846575949606e+00; beta = -8.372344421816798980502944616439874015e-01; diff = 3.851859888774471706111955885169854637e-34; -533/1000
Check failed for (fp128): alpha = -3.330088212805180832770401986276273289e+00; beta = -8.325220532012952081926004965690683222e-01; diff = 1.925929944387235853055977942584927319e-34; -530/1000
Check failed for (fp128): alpha = -3.317521842190821659816551412743154717e+00; beta = -8.293804605477054149541378531857886792e-01; diff = 1.925929944387235853055977942584927319e-34; -528/1000
Check failed for (fp128): alpha = -3.304955471576462486862700839210036915e+00; beta = -8.262388678941156217156752098025092288e-01; diff = 1.925929944387235853055977942584927319e-34; -526/1000
Check failed for (fp128): alpha = -3.292389100962103313908850265676919114e+00; beta = -8.230972752405258284772125664192297784e-01; diff = 2.888894916580853779583966913877390978e-34; -524/1000
Check failed for (fp128): alpha = -3.279822730347744140954999692143800927e+00; beta = -8.199556825869360352387499230359502317e-01; diff = 1.925929944387235853055977942584927319e-34; -522/1000
Check failed for (fp128): alpha = -3.273539545040564554478074405377242026e+00; beta = -8.183848862601411386195186013443105065e-01; diff = 1.925929944387235853055977942584927319e-34; -521/1000
Check failed for (fp128): alpha = -3.267256359733384968001149118610683125e+00; beta = -8.168140899333462420002872796526707813e-01; diff = 1.925929944387235853055977942584927319e-34; -520/1000
Check failed for (fp128): alpha = -3.254689989119025795047298545077564553e+00; beta = -8.136724972797564487618246362693911383e-01; diff = 1.925929944387235853055977942584927319e-34; -518/1000
Check failed for (fp128): alpha = -3.242123618504666622093447971544446751e+00; beta = -8.105309046261666555233619928861116879e-01; diff = 2.888894916580853779583966913877390978e-34; -516/1000
Check failed for (fp128): alpha = -3.229557247890307449139597398011328950e+00; beta = -8.073893119725768622848993495028322374e-01; diff = 2.888894916580853779583966913877390978e-34; -514/1000
Check failed for (fp128): alpha = -3.223274062583127862662672111244769664e+00; beta = -8.058185156457819656656680278111924159e-01; diff = 1.925929944387235853055977942584927319e-34; -513/1000
Check failed for (fp128): alpha = -3.210707691968768689708821537711651862e+00; beta = -8.026769229921921724272053844279129655e-01; diff = 2.888894916580853779583966913877390978e-34; -511/1000
Check failed for (fp128): alpha = -3.166725394818511584370344530345738786e+00; beta = -7.916813487046278960925861325864346965e-01; diff = 1.925929944387235853055977942584927319e-34; -504/1000
Check failed for (fp128): alpha = -3.085043985825176960170315802380471920e+00; beta = -7.712609964562942400425789505951179799e-01; diff = 1.925929944387235853055977942584927319e-34; -491/1000
Check failed for (fp128): alpha = -3.028495318060560681877988221481440657e+00; beta = -7.571238295151401704694970553703601642e-01; diff = 1.925929944387235853055977942584927319e-34; -482/1000
Check failed for (fp128): alpha = -2.997079391524662749493361787648645767e+00; beta = -7.492698478811656873733404469121614419e-01; diff = 1.925929944387235853055977942584927319e-34; -477/1000
Check failed for (fp128): alpha = -2.946813909067226057677959493516173405e+00; beta = -7.367034772668065144194898733790433513e-01; diff = 1.925929944387235853055977942584927319e-34; -469/1000
Check failed for (fp128): alpha = -2.909114797224148538816407772916819615e+00; beta = -7.272786993060371347041019432292049038e-01; diff = 1.925929944387235853055977942584927319e-34; -463/1000
Check failed for (fp128): alpha = -2.808583832309275155185603184651875661e+00; beta = -7.021459580773187887964007961629689153e-01; diff = 1.925929944387235853055977942584927319e-34; -447/1000
Check failed for (fp128): alpha = -2.469291825721577485431637699257689239e+00; beta = -6.173229564303943713579094248144223097e-01; diff = 1.925929944387235853055977942584927319e-34; -393/1000
Check failed for (fp128): alpha = -2.450442269800038726000861838958012151e+00; beta = -6.126105674500096815002154597395030378e-01; diff = 1.925929944387235853055977942584927319e-34; -390/1000
Check failed for (fp128): alpha = -2.381327231421063274754683684525863087e+00; beta = -5.953318078552658186886709211314657716e-01; diff = 1.925929944387235853055977942584927319e-34; -379/1000
Check failed for (fp128): alpha = -2.375044046113883688277758397759304186e+00; beta = -5.937610115284709220694395994398260464e-01; diff = 1.925929944387235853055977942584927319e-34; -378/1000
Check failed for (fp128): alpha = -2.155132560362598161585373360929739190e+00; beta = -5.387831400906495403963433402324347976e-01; diff = 1.925929944387235853055977942584927319e-34; -343/1000
Check failed for (fp128): alpha = -2.004336112990288086139166478532322489e+00; beta = -5.010840282475720215347916196330806222e-01; diff = 1.925929944387235853055977942584927319e-34; -319/1000
Check failed for (fp128): alpha = -1.947787445225671807846838897633291804e+00; beta = -4.869468613064179519617097244083229509e-01; diff = 1.925929944387235853055977942584927319e-34; -310/1000
Check failed for (fp128): alpha = -1.935221074611312634892988324100173617e+00; beta = -4.838052686528281587232470810250434042e-01; diff = 1.925929944387235853055977942584927319e-34; -308/1000
Check failed for (fp128): alpha = -1.897521962768235116031436603500819634e+00; beta = -4.743804906920587790078591508752049086e-01; diff = 1.925929944387235853055977942584927319e-34; -302/1000
Check failed for (fp128): alpha = -1.834690109696439251262183735835229663e+00; beta = -4.586725274241098128155459339588074158e-01; diff = 1.925929944387235853055977942584927319e-34; -292/1000
Check failed for (fp128): alpha = -1.803274183160541318877557302002434581e+00; beta = -4.508185457901353297193893255006086453e-01; diff = 1.925929944387235853055977942584927319e-34; -287/1000
Check failed for (fp128): alpha = -1.796990997853361732400632015235875680e+00; beta = -4.492477494633404331001580038089689201e-01; diff = 1.925929944387235853055977942584927319e-34; -286/1000
Check failed for (fp128): alpha = -1.771858256624643386492930868169639499e+00; beta = -4.429645641561608466232327170424098748e-01; diff = 1.925929944387235853055977942584927319e-34; -282/1000
Check failed for (fp128): alpha = -1.727875959474386281154453860803726616e+00; beta = -4.319689898685965702886134652009316539e-01; diff = 1.925929944387235853055977942584927319e-34; -275/1000
Check failed for (fp128): alpha = -1.621061809252333311046723985772223376e+00; beta = -4.052654523130833277616809964430558439e-01; diff = 1.925929944387235853055977942584927319e-34; -258/1000
Check failed for (fp128): alpha = -1.614778623945153724569798699005664475e+00; beta = -4.036946559862884311424496747514161187e-01; diff = 1.925929944387235853055977942584927319e-34; -257/1000
Check failed for (fp128): alpha = 1.614778623945153724569798699005664475e+00; beta = 4.036946559862884311424496747514161187e-01; diff = 1.925929944387235853055977942584927319e-34; 257/1000
Check failed for (fp128): alpha = 1.621061809252333311046723985772223376e+00; beta = 4.052654523130833277616809964430558439e-01; diff = 1.925929944387235853055977942584927319e-34; 258/1000
Check failed for (fp128): alpha = 1.727875959474386281154453860803726616e+00; beta = 4.319689898685965702886134652009316539e-01; diff = 1.925929944387235853055977942584927319e-34; 275/1000
Check failed for (fp128): alpha = 1.771858256624643386492930868169639499e+00; beta = 4.429645641561608466232327170424098748e-01; diff = 1.925929944387235853055977942584927319e-34; 282/1000
Check failed for (fp128): alpha = 1.796990997853361732400632015235875680e+00; beta = 4.492477494633404331001580038089689201e-01; diff = 1.925929944387235853055977942584927319e-34; 286/1000
Check failed for (fp128): alpha = 1.803274183160541318877557302002434581e+00; beta = 4.508185457901353297193893255006086453e-01; diff = 1.925929944387235853055977942584927319e-34; 287/1000
Check failed for (fp128): alpha = 1.834690109696439251262183735835229663e+00; beta = 4.586725274241098128155459339588074158e-01; diff = 1.925929944387235853055977942584927319e-34; 292/1000
Check failed for (fp128): alpha = 1.897521962768235116031436603500819634e+00; beta = 4.743804906920587790078591508752049086e-01; diff = 1.925929944387235853055977942584927319e-34; 302/1000
Check failed for (fp128): alpha = 1.935221074611312634892988324100173617e+00; beta = 4.838052686528281587232470810250434042e-01; diff = 1.925929944387235853055977942584927319e-34; 308/1000
Check failed for (fp128): alpha = 1.947787445225671807846838897633291804e+00; beta = 4.869468613064179519617097244083229509e-01; diff = 1.925929944387235853055977942584927319e-34; 310/1000
Check failed for (fp128): alpha = 2.004336112990288086139166478532322489e+00; beta = 5.010840282475720215347916196330806222e-01; diff = 1.925929944387235853055977942584927319e-34; 319/1000
Check failed for (fp128): alpha = 2.155132560362598161585373360929739190e+00; beta = 5.387831400906495403963433402324347976e-01; diff = 1.925929944387235853055977942584927319e-34; 343/1000
Check failed for (fp128): alpha = 2.375044046113883688277758397759304186e+00; beta = 5.937610115284709220694395994398260464e-01; diff = 1.925929944387235853055977942584927319e-34; 378/1000
Check failed for (fp128): alpha = 2.381327231421063274754683684525863087e+00; beta = 5.953318078552658186886709211314657716e-01; diff = 1.925929944387235853055977942584927319e-34; 379/1000
Check failed for (fp128): alpha = 2.450442269800038726000861838958012151e+00; beta = 6.126105674500096815002154597395030378e-01; diff = 1.925929944387235853055977942584927319e-34; 390/1000
Check failed for (fp128): alpha = 2.469291825721577485431637699257689239e+00; beta = 6.173229564303943713579094248144223097e-01; diff = 1.925929944387235853055977942584927319e-34; 393/1000
Check failed for (fp128): alpha = 2.808583832309275155185603184651875661e+00; beta = 7.021459580773187887964007961629689153e-01; diff = 1.925929944387235853055977942584927319e-34; 447/1000
Check failed for (fp128): alpha = 2.909114797224148538816407772916819615e+00; beta = 7.272786993060371347041019432292049038e-01; diff = 1.925929944387235853055977942584927319e-34; 463/1000
Check failed for (fp128): alpha = 2.946813909067226057677959493516173405e+00; beta = 7.367034772668065144194898733790433513e-01; diff = 1.925929944387235853055977942584927319e-34; 469/1000
Check failed for (fp128): alpha = 2.997079391524662749493361787648645767e+00; beta = 7.492698478811656873733404469121614419e-01; diff = 1.925929944387235853055977942584927319e-34; 477/1000
Check failed for (fp128): alpha = 3.028495318060560681877988221481440657e+00; beta = 7.571238295151401704694970553703601642e-01; diff = 1.925929944387235853055977942584927319e-34; 482/1000
Check failed for (fp128): alpha = 3.085043985825176960170315802380471920e+00; beta = 7.712609964562942400425789505951179799e-01; diff = 1.925929944387235853055977942584927319e-34; 491/1000
Check failed for (fp128): alpha = 3.166725394818511584370344530345738786e+00; beta = 7.916813487046278960925861325864346965e-01; diff = 1.925929944387235853055977942584927319e-34; 504/1000
Check failed for (fp128): alpha = 3.210707691968768689708821537711651862e+00; beta = 8.026769229921921724272053844279129655e-01; diff = 2.888894916580853779583966913877390978e-34; 511/1000
Check failed for (fp128): alpha = 3.223274062583127862662672111244769664e+00; beta = 8.058185156457819656656680278111924159e-01; diff = 1.925929944387235853055977942584927319e-34; 513/1000
Check failed for (fp128): alpha = 3.229557247890307449139597398011328950e+00; beta = 8.073893119725768622848993495028322374e-01; diff = 2.888894916580853779583966913877390978e-34; 514/1000
Check failed for (fp128): alpha = 3.242123618504666622093447971544446751e+00; beta = 8.105309046261666555233619928861116879e-01; diff = 2.888894916580853779583966913877390978e-34; 516/1000
Check failed for (fp128): alpha = 3.254689989119025795047298545077564553e+00; beta = 8.136724972797564487618246362693911383e-01; diff = 1.925929944387235853055977942584927319e-34; 518/1000
Check failed for (fp128): alpha = 3.267256359733384968001149118610683125e+00; beta = 8.168140899333462420002872796526707813e-01; diff = 1.925929944387235853055977942584927319e-34; 520/1000
Check failed for (fp128): alpha = 3.273539545040564554478074405377242026e+00; beta = 8.183848862601411386195186013443105065e-01; diff = 1.925929944387235853055977942584927319e-34; 521/1000
Check failed for (fp128): alpha = 3.279822730347744140954999692143800927e+00; beta = 8.199556825869360352387499230359502317e-01; diff = 1.925929944387235853055977942584927319e-34; 522/1000
Check failed for (fp128): alpha = 3.292389100962103313908850265676919114e+00; beta = 8.230972752405258284772125664192297784e-01; diff = 2.888894916580853779583966913877390978e-34; 524/1000
Check failed for (fp128): alpha = 3.304955471576462486862700839210036915e+00; beta = 8.262388678941156217156752098025092288e-01; diff = 1.925929944387235853055977942584927319e-34; 526/1000
Check failed for (fp128): alpha = 3.317521842190821659816551412743154717e+00; beta = 8.293804605477054149541378531857886792e-01; diff = 1.925929944387235853055977942584927319e-34; 528/1000
Check failed for (fp128): alpha = 3.330088212805180832770401986276273289e+00; beta = 8.325220532012952081926004965690683222e-01; diff = 1.925929944387235853055977942584927319e-34; 530/1000
Check failed for (fp128): alpha = 3.348937768726719592201177846575949606e+00; beta = 8.372344421816798980502944616439874015e-01; diff = 3.851859888774471706111955885169854637e-34; 533/1000
Check failed for (fp128): alpha = 3.361504139341078765155028420109068178e+00; beta = 8.403760348352696912887571050272670445e-01; diff = 1.925929944387235853055977942584927319e-34; 535/1000
Check failed for (fp128): alpha = 3.380353695262617524585804280408744881e+00; beta = 8.450884238156543811464510701021862202e-01; diff = 1.925929944387235853055977942584927319e-34; 538/1000
Check failed for (fp128): alpha = 3.399203251184156284016580140708421968e+00; beta = 8.498008127960390710041450351771054921e-01; diff = 1.925929944387235853055977942584927319e-34; 541/1000
Check failed for (fp128): alpha = 3.411769621798515456970430714241539770e+00; beta = 8.529424054496288642426076785603849425e-01; diff = 2.888894916580853779583966913877390978e-34; 543/1000
Check failed for (fp128): alpha = 3.418052807105695043447356001008098671e+00; beta = 8.545132017764237608618390002520246677e-01; diff = 1.925929944387235853055977942584927319e-34; 544/1000
Check failed for (fp128): alpha = 3.424335992412874629924281287774658342e+00; beta = 8.560839981032186574810703219436645855e-01; diff = 1.925929944387235853055977942584927319e-34; 545/1000
Check failed for (fp128): alpha = 3.430619177720054216401206574541217243e+00; beta = 8.576547944300135541003016436353043107e-01; diff = 1.925929944387235853055977942584927319e-34; 546/1000
Check failed for (fp128): alpha = 3.436902363027233802878131861307776144e+00; beta = 8.592255907568084507195329653269440359e-01; diff = 2.888894916580853779583966913877390978e-34; 547/1000
Check failed for (fp128): alpha = 3.449468733641592975831982434840893945e+00; beta = 8.623671834103982439579956087102234863e-01; diff = 1.925929944387235853055977942584927319e-34; 549/1000
Check failed for (fp128): alpha = 3.462035104255952148785833008374012132e+00; beta = 8.655087760639880371964582520935030330e-01; diff = 1.925929944387235853055977942584927319e-34; 551/1000
Check failed for (fp128): alpha = 3.468318289563131735262758295140571033e+00; beta = 8.670795723907829338156895737851427582e-01; diff = 1.925929944387235853055977942584927319e-34; 552/1000
Check failed for (fp128): alpha = 3.474601474870311321739683581907129934e+00; beta = 8.686503687175778304349208954767824834e-01; diff = 1.925929944387235853055977942584927319e-34; 553/1000
Check failed for (fp128): alpha = 3.480884660177490908216608868673688835e+00; beta = 8.702211650443727270541522171684222086e-01; diff = 1.925929944387235853055977942584927319e-34; 554/1000
Check failed for (fp128): alpha = 3.487167845484670494693534155440248506e+00; beta = 8.717919613711676236733835388600621264e-01; diff = 3.851859888774471706111955885169854637e-34; 555/1000
Check failed for (fp128): alpha = 3.499734216099029667647384728973366307e+00; beta = 8.749335540247574169118461822433415769e-01; diff = 3.851859888774471706111955885169854637e-34; 557/1000
Check failed for (fp128): alpha = 3.512300586713388840601235302506484109e+00; beta = 8.780751466783472101503088256266210273e-01; diff = 3.851859888774471706111955885169854637e-34; 559/1000
Check failed for (fp128): alpha = 3.518583772020568427078160589273043395e+00; beta = 8.796459430051421067695401473182608488e-01; diff = 1.925929944387235853055977942584927319e-34; 560/1000
Check failed for (fp128): alpha = 3.531150142634927600032011162806161197e+00; beta = 8.827875356587319000080027907015402992e-01; diff = 3.851859888774471706111955885169854637e-34; 562/1000
Check failed for (fp128): alpha = 3.543716513249286772985861736339278998e+00; beta = 8.859291283123216932464654340848197496e-01; diff = 3.370377402677662742847961399523622807e-34; 564/1000
Check failed for (fp128): alpha = 3.556282883863645945939712309872397185e+00; beta = 8.890707209659114864849280774680992963e-01; diff = 2.407412430484044816319972428231159148e-34; 566/1000
Check failed for (fp128): alpha = 3.562566069170825532416637596638956086e+00; beta = 8.906415172927063831041593991597390215e-01; diff = 1.925929944387235853055977942584927319e-34; 567/1000
Check failed for (fp128): alpha = 3.568849254478005118893562883405514987e+00; beta = 8.922123136195012797233907208513787467e-01; diff = 2.648153673532449297951969671054275063e-34; 568/1000
Check failed for (fp128): alpha = 3.593981995706723464801264030471751361e+00; beta = 8.984954989266808662003160076179378401e-01; diff = 3.851859888774471706111955885169854637e-34; 572/1000
Check failed for (fp128): alpha = 3.606548366321082637755114604004869162e+00; beta = 9.016370915802706594387786510012172906e-01; diff = 4.092601131822876187743953127992970552e-34; 574/1000
Check failed for (fp128): alpha = 3.625397922242621397185890464304546250e+00; beta = 9.063494805606553492964726160761365625e-01; diff = 3.370377402677662742847961399523622807e-34; 577/1000
Check failed for (fp128): alpha = 3.637964292856980570139741037837664052e+00; beta = 9.094910732142451425349352594594160129e-01; diff = 3.129636159629258261215964156700506893e-34; 579/1000
Check failed for (fp128): alpha = 3.656813848778519329570516898137341524e+00; beta = 9.142034621946298323926292245343353811e-01; diff = 2.166671187435640334687975185408043233e-34; 582/1000
Check failed for (fp128): alpha = 3.669380219392878502524367471670459326e+00; beta = 9.173450548482196256310918679176148315e-01; diff = 3.129636159629258261215964156700506893e-34; 584/1000
Check failed for (fp128): alpha = 3.688229775314417261955143331970136414e+00; beta = 9.220574438286043154887858329925341034e-01; diff = 4.333342374871280669375950370816086467e-34; 587/1000
Check failed for (fp128): alpha = 3.700796145928776434908993905503254215e+00; beta = 9.251990364821941087272484763758135538e-01; diff = 3.490748024201864983663960020935180765e-34; 589/1000
Check failed for (fp128): alpha = 3.713362516543135607862844479036372017e+00; beta = 9.283406291357839019657111197590930042e-01; diff = 4.333342374871280669375950370816086467e-34; 591/1000
Check failed for (fp128): alpha = 3.732212072464674367293620339336049105e+00; beta = 9.330530181161685918234050848340122762e-01; diff = 2.648153673532449297951969671054275063e-34; 594/1000
Check failed for (fp128): alpha = 3.744778443079033540247470912869166906e+00; beta = 9.361946107697583850618677282172917266e-01; diff = 3.671303956488168344887957953052517701e-34; 596/1000
Check failed for (fp128): alpha = 3.751061628386213126724396199635726577e+00; beta = 9.377654070965532816810990499089316444e-01; diff = 2.678246328913499858155969326407164552e-34; 597/1000
Check failed for (fp128): alpha = 3.763627999000572299678246773168844379e+00; beta = 9.409069997501430749195616932922110948e-01; diff = 2.753477967366126258665968464789388276e-34; 599/1000
Check failed for (fp128): alpha = 3.776194369614931472632097346701962181e+00; beta = 9.440485924037328681580243366754905452e-01; diff = 2.241902825888266735197974323790266957e-34; 601/1000
Check failed for (fp128): alpha = 3.782477554922111059109022633468521467e+00; beta = 9.456193887305277647772556583671303667e-01; diff = 3.821767233393421145907956229816965148e-34; 602/1000
Check failed for (fp128): alpha = 3.795043925536470232062873207001639268e+00; beta = 9.487609813841175580157183017504098171e-01; diff = 4.393527685633381789783949681521865445e-34; 604/1000
Check failed for (fp128): alpha = 3.807610296150829405016723780534757070e+00; beta = 9.519025740377073512541809451336892675e-01; diff = 3.370377402677662742847961399523622807e-34; 606/1000
Check failed for (fp128): alpha = 3.832743037379547750924424927600993444e+00; beta = 9.581857593448869377311062319002483609e-01; diff = 1.925929944387235853055977942584927319e-34; 610/1000
Check failed for (fp128): alpha = 3.839026222686727337401350214367552345e+00; beta = 9.597565556716818343503375535918880861e-01; diff = 2.287041808959842575503973806819601191e-34; 611/1000
Check failed for (fp128): alpha = 3.845309407993906923878275501134111631e+00; beta = 9.613273519984767309695688752835279076e-01; diff = 2.768524295056651538767968292465833020e-34; 612/1000
Check failed for (fp128): alpha = 3.857875778608266096832126074667229432e+00; beta = 9.644689446520665242080315186668073581e-01; diff = 2.888894916580853779583966913877390978e-34; 614/1000
Check failed for (fp128): alpha = 3.870442149222625269785976648200347234e+00; beta = 9.676105373056563174464941620500868085e-01; diff = 4.092601131822876187743953127992970552e-34; 616/1000
Check failed for (fp128): alpha = 3.883008519836984442739827221733465806e+00; beta = 9.707521299592461106849568054333664515e-01; diff = 3.129636159629258261215964156700506893e-34; 618/1000
Check failed for (fp128): alpha = 3.895574890451343615693677795266583608e+00; beta = 9.738937226128359039234194488166459019e-01; diff = 3.129636159629258261215964156700506893e-34; 620/1000
Check failed for (fp128): alpha = 3.908141261065702788647528368799701409e+00; beta = 9.770353152664256971618820921999253523e-01; diff = 1.925929944387235853055977942584927319e-34; 622/1000
Check failed for (fp128): alpha = 3.926990816987241548078304229099378497e+00; beta = 9.817477042468103870195760572748446242e-01; diff = 1.925929944387235853055977942584927319e-34; 625/1000
Check failed for (fp128): alpha = 3.933274002294421134555229515865937398e+00; beta = 9.833185005736052836388073789664843494e-01; diff = 1.925929944387235853055977942584927319e-34; 626/1000
Check failed for (fp128): alpha = 3.952123558215959893986005376165614485e+00; beta = 9.880308895539899734965013440414036213e-01; diff = 2.407412430484044816319972428231159148e-34; 629/1000
Check failed for (fp128): alpha = 3.964689928830319066939855949698732287e+00; beta = 9.911724822075797667349639874246830717e-01; diff = 2.407412430484044816319972428231159148e-34; 631/1000
Check failed for (fp128): alpha = 3.977256299444678239893706523231850859e+00; beta = 9.943140748611695599734266308079627148e-01; diff = 3.851859888774471706111955885169854637e-34; 633/1000
Check failed for (fp128): alpha = 3.989822670059037412847557096764968661e+00; beta = 9.974556675147593532118892741912421652e-01; diff = 2.407412430484044816319972428231159148e-34; 635/1000
Check failed for (fp128): alpha = 4.008672225980576172278332957064644978e+00; beta = 1.002168056495144043069583239266161244e+00; diff = 3.851859888774471706111955885169854637e-34; 638/1000
Check failed for (fp128): alpha = 4.014955411287755758755258243831204649e+00; beta = 1.003738852821938939688814560957801162e+00; diff = 2.407412430484044816319972428231159148e-34; 639/1000
Check failed for (fp128): alpha = 4.021238596594935345232183530597763550e+00; beta = 1.005309649148733836308045882649440887e+00; diff = 2.407412430484044816319972428231159148e-34; 640/1000
Check failed for (fp128): alpha = 4.052654523130833277616809964430558824e+00; beta = 1.013163630782708319404202491107639706e+00; diff = 4.333342374871280669375950370816086467e-34; 645/1000
Check failed for (fp128): alpha = 4.065220893745192450570660537963676626e+00; beta = 1.016305223436298112642665134490919157e+00; diff = 3.851859888774471706111955885169854637e-34; 647/1000
Check failed for (fp128): alpha = 4.084070449666731210001436398263354099e+00; beta = 1.021017612416682802500359099565838525e+00; diff = 2.407412430484044816319972428231159148e-34; 650/1000
Check failed for (fp128): alpha = 4.090353634973910796478361685029913000e+00; beta = 1.022588408743477699119590421257478250e+00; diff = 2.407412430484044816319972428231159148e-34; 651/1000
Check failed for (fp128): alpha = 4.102920005588269969432212258563030801e+00; beta = 1.025730001397067492358053064640757700e+00; diff = 1.925929944387235853055977942584927319e-34; 653/1000
Check failed for (fp128): alpha = 4.109203190895449555909137545329589702e+00; beta = 1.027300797723862388977284386332397426e+00; diff = 2.407412430484044816319972428231159148e-34; 654/1000
Check failed for (fp128): alpha = 4.134335932124167901816838692395825306e+00; beta = 1.033583983031041975454209673098956326e+00; diff = 2.407412430484044816319972428231159148e-34; 658/1000
Check failed for (fp128): alpha = 4.146902302738527074770689265928943878e+00; beta = 1.036725575684631768692672316482235969e+00; diff = 3.370377402677662742847961399523622807e-34; 660/1000
Check failed for (fp128): alpha = 4.159468673352886247724539839462061679e+00; beta = 1.039867168338221561931134959865515420e+00; diff = 4.333342374871280669375950370816086467e-34; 662/1000
Check failed for (fp128): alpha = 4.172035043967245420678390412995179481e+00; beta = 1.043008760991811355169597603248794870e+00; diff = 4.333342374871280669375950370816086467e-34; 664/1000
Check failed for (fp128): alpha = 4.178318229274425007155315699761739152e+00; beta = 1.044579557318606251788828924940434788e+00; diff = 2.407412430484044816319972428231159148e-34; 665/1000
Check failed for (fp128): alpha = 4.184601414581604593632240986528298053e+00; beta = 1.046150353645401148408060246632074513e+00; diff = 1.925929944387235853055977942584927319e-34; 666/1000
Check failed for (fp128): alpha = 4.190884599888784180109166273294856954e+00; beta = 1.047721149972196045027291568323714238e+00; diff = 1.925929944387235853055977942584927319e-34; 667/1000
Check failed for (fp128): alpha = 4.203450970503143353063016846827974755e+00; beta = 1.050862742625785838265754211706993689e+00; diff = 1.925929944387235853055977942584927319e-34; 669/1000
Check failed for (fp128): alpha = 4.209734155810322939539942133594533656e+00; beta = 1.052433538952580734884985533398633414e+00; diff = 2.888894916580853779583966913877390978e-34; 670/1000
Check failed for (fp128): alpha = 4.216017341117502526016867420361092557e+00; beta = 1.054004335279375631504216855090273139e+00; diff = 1.925929944387235853055977942584927319e-34; 671/1000
Check failed for (fp128): alpha = 4.222300526424682112493792707127651458e+00; beta = 1.055575131606170528123448176781912864e+00; diff = 1.925929944387235853055977942584927319e-34; 672/1000
